rank,O score,matrix,c1,m1,c2,m2
139,2.01345350199403,"         101      114
368 9.33E+01 7.19E+01
381 8.97E+01 8.73E+01",101,368,114,381
140,2.013440626773893,"         114       99
297 8.36E+01 9.21E+01
366 7.01E+01 9.74E+01",114,297,99,366
141,2.013428589223272,"         114       99
370 7.14E+01 9.86E+01
384 8.73E+01 9.55E+01",114,384,99,370
142,2.0134125224832147,"         114       86
366 7.01E+01 1.04E+02
384 8.73E+01 1.03E+02",114,384,86,366
143,2.013406949678792,"         114       99
363 7.00E+01 1.01E+02
388 8.24E+01 9.47E+01",114,388,99,363
144,2.013398995325708,"         114       79
390 8.63E+01 1.01E+02
458 7.13E+01 1.06E+02",114,390,79,458
145,2.013385305026002,"         114       78
371 7.13E+01 1.02E+02
383 8.62E+01 9.76E+01",114,383,78,371
146,2.0133591841980794,"         114       86
373 7.17E+01 1.07E+02
384 8.73E+01 1.03E+02",114,384,86,373
147,2.013336117759631,"         114       99
261 7.36E+01 1.02E+02
305 8.04E+01 8.84E+01",114,305,99,261
148,2.013324869228021,"         114       86
363 7.00E+01 1.03E+02
381 8.73E+01 1.02E+02",114,381,86,363
149,2.013291432547262,"         114       99
366 7.01E+01 9.74E+01
383 8.62E+01 9.50E+01",114,383,99,366
150,2.0132871449341976,"         114       99
375 7.12E+01 9.67E+01
381 8.73E+01 9.41E+01",114,381,99,375
151,2.013283209695983,"         114       NP
366 7.01E+01 1.04E+02
391 8.49E+01 9.97E+01",114,391,NP,366
152,2.0132805803809872,"         104      114
297 9.08E+01 8.36E+01
363 9.58E+01 7.00E+01",104,363,114,297
153,2.0132745308324216,"         114       99
316 7.91E+01 9.10E+01
363 7.00E+01 1.01E+02",114,316,99,363
154,2.0132596240583616,"         114      128
370 7.14E+01 9.77E+01
381 8.73E+01 9.48E+01",114,381,128,370
155,2.013242458593565,"         114      128
333 8.24E+01 9.38E+01
366 7.01E+01 1.00E+02",114,333,128,366
156,2.0132080314004304,"         114       99
363 7.00E+01 1.01E+02
403 8.38E+01 9.64E+01",114,403,99,363
157,2.0132021750368465,"         114      128
261 7.36E+01 1.04E+02
401 8.64E+01 9.66E+01",114,401,128,261
158,2.0131981520733575,"         101      114
297 8.86E+01 8.36E+01
366 9.34E+01 7.01E+01",101,366,114,297
159,2.013188890394912,"         114       NP
366 7.01E+01 1.04E+02
398 8.59E+01 1.01E+02",114,398,NP,366
160,2.0131859690448834,"         114       79
366 7.01E+01 1.04E+02
390 8.63E+01 1.01E+02",114,390,79,366
161,2.013183562791252,"         114       86
297 8.36E+01 9.90E+01
366 7.01E+01 1.04E+02",114,297,86,366
162,2.0131705963364896,"         114       99
363 7.00E+01 1.01E+02
399 8.21E+01 9.45E+01",114,399,99,363
